id,name,alt_name,region,country,latitude,longitude,type,GEOIDFQ,PLACENAME,AREATYPE,COMMENT
,Halibut Cove,,Alaska,US,59.5906488575155,-151.233511235235,community,1600000US0231270,Halibut Cove CDP,Census designated place,
,Happy Valley,,Alaska,US,59.9327912999479,-151.728990249547,community,1600000US0231710,Happy Valley CDP,Census designated place,
,Harding-Birch Lakes,,Alaska,US,64.3481136375039,-146.854993576174,community,1600000US0231765,Harding-Birch Lakes CDP,Census designated place,
,Hobart Bay,,Alaska,US,57.4009687841145,-133.412652245981,community,1600000US0232550,Hobart Bay CDP,Census designated place,
,Klawock,Lawaak,Alaska,US,55.552402796328,-133.081658714754,community,1600000US0240400,Klawock city,Incorporated place,
,Knik River,,Alaska,US,61.481248181518,-149.129956833851,community,1600000US0240670,Knik River CDP,Census designated place,
,Kodiak Station,,Alaska,US,57.7551796258738,-152.513952381319,community,1600000US0241210,Kodiak Station CDP,Census designated place,
,Lake Louise,,Alaska,US,62.2720649720196,-146.535138554743,community,1600000US0242805,Lake Louise CDP,Census designated place,
,Lazy Mountain,,Alaska,US,61.6152452882938,-149.060809483244,community,1600000US0243260,Lazy Mountain CDP,Census designated place,
,Lowell Point,,Alaska,US,60.0708871927452,-149.442044291663,community,1600000US0245295,Lowell Point CDP,Census designated place,
,Lutak,,Alaska,US,59.3232913961004,-135.560246591843,community,1600000US0245700,Lutak CDP,Census designated place,
,Meadow Lakes,,Alaska,US,61.5845685992176,-149.628037838618,community,1600000US0247735,Meadow Lakes CDP,Census designated place,
,Mertarvik,,Alaska,US,60.8195959925068,-164.512261318241,community,1600000US0248590,Mertarvik CDP,Census designated place,
,Metlakatla,Maxłakxaała,Alaska,US,55.1275710190595,-131.576181657309,community,1600000US0248870,Metlakatla CDP,Census designated place,
,Mill Bay,,Alaska,US,57.8195329878276,-152.355948241955,community,1600000US0249200,Mill Bay CDP,Census designated place,
,Moose Creek,,Alaska,US,64.7155353058851,-147.164459513279,community,1600000US0250080,Moose Creek CDP,Census designated place,
,Mosquito Lake,,Alaska,US,59.4245755837558,-136.016044597063,community,1600000US0250800,Mosquito Lake CDP,Census designated place,
,Mud Bay,,Alaska,US,59.17019892069,-135.366495587474,community,1600000US0251455,Mud Bay CDP,Census designated place,
,Naukati Bay,,Alaska,US,55.8762010913518,-133.192085755332,community,1600000US0252845,Naukati Bay CDP,Census designated place,
,North Lakes,,Alaska,US,61.6135154646302,-149.329805129446,community,1600000US0255745,North Lakes CDP,Census designated place,
,Pleasant Valley,,Alaska,US,64.8802075625380,-146.887450362047,community,1600000US0261120,Pleasant Valley CDP,Census designated place,
,Point MacKenzie,,Alaska,US,61.3470634606156,-150.065850824749,community,1600000US0261788,Point MacKenzie CDP,Census designated place,
,Point Possession,,Alaska,US,60.9535678691576,-150.6744360316,community,1600000US0261825,Point Possession CDP,Census designated place,
,Pope-Vannoy Landing,,Alaska,US,59.5354251012985,-154.505164152232,community,1600000US0262125,Pope-Vannoy Landing CDP,Census designated place,
,Port Clarence,,Alaska,US,65.2572550516543,-166.866138420608,community,1600000US0263170,Port Clarence CDP,Census designated place,
,Port Protection,,Alaska,US,56.3211641372746,-133.604860645817,community,1600000US0263870,Port Protection CDP,Census designated place,
,Primrose,,Alaska,US,60.3236481575312,-149.357598950283,community,1600000US0264240,Primrose CDP,Census designated place,
,Red Dog Mine,,Alaska,US,68.036022819916,-162.896432114116,community,1600000US0264980,Red Dog Mine CDP,Census designated place,
,Ridgeway,,Alaska,US,60.5165394558213,-151.058229609748,community,1600000US0265345,Ridgeway CDP,Census designated place,
,Seldovia Village,,Alaska,US,59.4716137073092,-151.654768865558,community,1600000US0268370,Seldovia Village CDP,Census designated place,
,Silver Springs,,Alaska,US,62.0137592575516,-145.335953249396,community,1600000US0270320,Silver Springs CDP,Census designated place,
,South Lakes,,Alaska,US,61.5902913857921,-149.316503713196,community,1600000US0272135,South Lakes CDP,Census designated place,
,South Van Horn,,Alaska,US,64.8074732836618,-147.774013512024,community,1600000US0272230,South Van Horn CDP,Census designated place,
,St. George,Anĝaaxchaluxˆ,Alaska,US,56.5748069698747,-169.610358892355,community,1600000US0265800,St. George city,Incorporated place,
,Steele Creek,,Alaska,US,64.9028054910585,-147.524116697126,community,1600000US0272985,Steele Creek CDP,Census designated place,
,Susitna North,,Alaska,US,62.1321890285062,-150.03223325894,community,1600000US0274350,Susitna North CDP,Census designated place,
,Sutton-Alpine,,Alaska,US,61.7167734610463,-148.884408161113,community,1600000US0274525,Sutton-Alpine CDP,Census designated place,
,Tanaina,,Alaska,US,61.6141393109188,-149.450805904867,community,1600000US0275077,Tanaina CDP,Census designated place,
,Tolsona,,Alaska,US,62.0990268625294,-146.044410321736,community,1600000US0278297,Tolsona CDP,Census designated place,
,Trapper Creek,,Alaska,US,62.3113864284279,-150.245804793365,community,1600000US0278680,Trapper Creek CDP,Census designated place,
,Whitestone,,Alaska,US,64.153587248891,-145.886317164469,community,1600000US0284120,Whitestone CDP,Census designated place,
,Whitestone Logging Camp,,Alaska,US,58.0831415629241,-135.436672104229,community,1600000US0284200,Whitestone Logging Camp CDP,Census designated place,
,Willow Creek,,Alaska,US,61.8123092645089,-145.1944156,community,1600000US0285290,Willow Creek CDP,Census designated place,
