Year,StateAbbr,StateDesc,CountyName,CountyFIPS,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,Geolocation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,Counties
2021,AK,Alaska,Matanuska-Susitna,02170,02170001201,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Crude prevalence,22.5,,,19.3,25.9,5142,POINT (-149.1138518 61.58086657),02170001201,RISKBEH,LPA,CrdPrv,Physical Inactivity,1707
2021,AK,Alaska,Fairbanks North Star,02090,02090000800,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Crude prevalence,2.0,,,1.9,2.3,5388,POINT (-147.8492011 64.84132585),02090000800,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease,1673
2020,AK,Alaska,Anchorage,02020,02020001731,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,67.4,,,63.8,70.6,5823,POINT (-149.7334344 61.20228979),02020001731,PREVENT,MAMMOUSE,CrdPrv,Mammography,1669
2021,AK,Alaska,Matanuska-Susitna,02170,02170000402,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Crude prevalence,5.3,,,4.5,6.3,2105,POINT (-149.7428205 61.82426238),02170000402,DISABLT,VISION,CrdPrv,Vision Disability,1707
2020,AK,Alaska,Anchorage,02020,02020000203,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Crude prevalence,37.0,,,31.3,42.5,10549,POINT (-149.5040654 61.3101556),02020000203,PREVENT,COREW,CrdPrv,Core preventive services for older women,1669
2021,AK,Alaska,Fairbanks North Star,02090,02090001600,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Crude prevalence,21.9,,,18.9,25.2,4836,POINT (-147.354812 64.75303004),02090001600,RISKBEH,LPA,CrdPrv,Physical Inactivity,1673
2021,AK,Alaska,Kenai Peninsula,02122,02122000800,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,35.6,,,32.2,39.2,3724,POINT (-151.4627663 59.94353019),02122000800,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure,110
2021,AK,Alaska,Fairbanks North Star,02090,02090001800,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,33.4,,,29.5,37.6,2743,POINT (-146.6673515 64.68768252),02090001800,PREVENT,BPMED,CrdPrv,Taking BP Medication,1673
2020,AK,Alaska,Matanuska-Susitna,02170,02170000300,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Crude prevalence,81.1,,,79.6,82.5,5614,POINT (-149.1776083 61.74709797),02170000300,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening,1707
2021,AK,Alaska,Anchorage,02020,02020000204,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Crude prevalence,12.7,,,9.6,16.8,3381,POINT (-149.2186364 61.18331521),02020000204,RISKBEH,CSMOKING,CrdPrv,Current Smoking,1669
2021,AK,Alaska,North Slope,02185,02185000100,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Crude prevalence,19.0,,,15.7,22.7,4213,POINT (-156.7348496 71.23014084),02185000100,RISKBEH,BINGE,CrdPrv,Binge Drinking,115
2021,AK,Alaska,Kenai Peninsula,02122,02122000500,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,12.3,,,10.8,14.0,6263,POINT (-151.0417414 60.5167027),02122000500,HLTHSTAT,PHLTH,CrdPrv,Physical Health,110
2021,AK,Alaska,Aleutians West,02016,02016000200,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,14.3,,,11.9,17.3,4376,POINT (-166.8656471 53.67251682),02016000200,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,1668
2021,AK,Alaska,Juneau,02110,02110000200,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Crude prevalence,2.1,,,1.9,2.4,7083,POINT (-134.5728555 58.39673216),02110000200,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease,1675
2021,AK,Alaska,Southeast Fairbanks,02240,02240000100,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,37.8,,,31.9,43.9,2219,POINT (-142.3775196 63.85669279),02240000100,HLTHOUT,OBESITY,CrdPrv,Obesity,983
2020,AK,Alaska,Ketchikan Gateway,02130,02130000300,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Crude prevalence,62.9,,,60.1,65.6,2841,POINT (-131.6336211 55.3472241),02130000300,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening,111
2021,AK,Alaska,Anchorage,02020,02020002602,BRFSS,Disability,Any disability among adults aged >=18 years,%,Crude prevalence,23.2,,,20.3,26.3,5805,POINT (-149.8195626 61.15930344),02020002602,DISABLT,DISABILITY,CrdPrv,Any Disability,1669
2021,AK,Alaska,Fairbanks North Star,02090,02090001100,BRFSS,Disability,Self-care disability among adults aged >=18 years,%,Crude prevalence,1.5,,,1.3,1.7,8143,POINT (-147.6540945 64.51091029),02090001100,DISABLT,SELFCARE,CrdPrv,Self-care Disability,1673
2020,AK,Alaska,Fairbanks North Star,02090,02090001200,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Crude prevalence,32.4,,,28.0,36.7,6854,POINT (-147.5757843 64.88771676),02090001200,PREVENT,COREW,CrdPrv,Core preventive services for older women,1673
2020,AK,Alaska,Fairbanks North Star,02090,02090001300,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Crude prevalence,33.3,,,28.8,38.2,6462,POINT (-147.7713035 64.89368433),02090001300,PREVENT,COREW,CrdPrv,Core preventive services for older women,1673
2021,AK,Alaska,Anchorage,02020,02020002602,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Crude prevalence,20.7,,,18.1,23.6,5805,POINT (-149.8195626 61.15930344),02020002602,HLTHOUT,DEPRESSION,CrdPrv,Depression,1669
2021,AK,Alaska,Bristol Bay,02060,02060000100,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,6.1,,,5.5,6.7,997,POINT (-156.703011 58.74226735),02060000100,HLTHOUT,CANCER,CrdPrv,Cancer (except skin),1670
2020,AK,Alaska,Dillingham,02070,02070000200,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Crude prevalence,79.2,,,77.2,81.2,2381,POINT (-158.6521544 59.05170853),02070000200,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening,1672
2020,AK,Alaska,Bristol Bay,02060,02060000100,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Crude prevalence,29.0,,,24.8,33.4,997,POINT (-156.703011 58.74226735),02060000100,PREVENT,COREW,CrdPrv,Core preventive services for older women,1670
2021,AK,Alaska,Bethel,02050,02050000100,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Crude prevalence,60.3,,,54.8,65.4,9483,POINT (-162.3996469 60.42060844),02050000100,PREVENT,CHECKUP,CrdPrv,Annual Checkup,108
2021,AK,Alaska,Kenai Peninsula,02122,02122000300,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Crude prevalence,63.6,,,59.4,67.6,895,POINT (-149.423589 60.5946799),02122000300,PREVENT,CHECKUP,CrdPrv,Annual Checkup,110
2021,AK,Alaska,Aleutians West,02016,02016000100,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,20.0,,,17.0,23.9,1185,POINT (-173.0176532 52.56487002),02016000100,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,
2021,AK,Alaska,Anchorage,02020,02020001731,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,11.7,,,9.6,14.2,5823,POINT (-149.7334344 61.20228979),02020001731,PREVENT,ACCESS2,CrdPrv,Health Insurance,1669
2021,AK,Alaska,Juneau,02110,02110000600,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,21.8,,,18.9,24.9,5474,POINT (-134.5401735 58.18417526),02110000600,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,1675
2021,AK,Alaska,Matanuska-Susitna,02170,02170000900,BRFSS,Disability,Hearing disability among adults aged >=18 years,%,Crude prevalence,8.4,,,7.4,9.5,2544,POINT (-149.46229 61.56934548),02170000900,DISABLT,HEARING,CrdPrv,Hearing Disability,1707
2021,AK,Alaska,Ketchikan Gateway,02130,02130000300,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Crude prevalence,5.2,,,4.6,6.0,2841,POINT (-131.6336211 55.3472241),02130000300,DISABLT,VISION,CrdPrv,Vision Disability,111
2020,AK,Alaska,Sitka,02220,02220000100,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,63.4,,,60.3,66.4,3546,POINT (-135.2984804 57.23544094),02220000100,PREVENT,DENTAL,CrdPrv,Dental Visit,118
2020,AK,Alaska,Nome,02180,02180000100,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Crude prevalence,51.3,,,50.2,52.5,5725,POINT (-163.9147742 64.90626191),02180000100,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening,114
2021,AK,Alaska,Anchorage,02020,02020000600,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,11.5,,,10.3,13.0,7747,POINT (-149.8372716 61.22488662),02020000600,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,1669
2020,AK,Alaska,Anchorage,02020,02020000204,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Crude prevalence,83.0,,,80.6,85.2,3381,POINT (-149.2186364 61.18331521),02020000204,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening,1669
2021,AK,Alaska,Bethel,02050,02050000300,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Crude prevalence,61.1,,,55.6,66.2,1450,POINT (-156.8099559 61.47802052),02050000300,PREVENT,CHECKUP,CrdPrv,Annual Checkup,108
2021,AK,Alaska,Juneau,02110,02110000400,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Crude prevalence,2.8,,,2.5,3.1,4804,POINT (-134.4409334 58.38315353),02110000400,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease,1675
2021,AK,Alaska,Dillingham,02070,02070000200,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Crude prevalence,20.1,,,16.5,23.9,2381,POINT (-158.6521544 59.05170853),02070000200,HLTHOUT,DEPRESSION,CrdPrv,Depression,1672
2021,AK,Alaska,North Slope,02185,02185000300,BRFSS,Disability,Any disability among adults aged >=18 years,%,Crude prevalence,21.3,,,17.7,25.3,2527,POINT (-149.6653744 70.08549377),02185000300,DISABLT,DISABILITY,CrdPrv,Any Disability,115
2021,AK,Alaska,Anchorage,02020,02020001300,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Crude prevalence,2.6,,,2.4,3.0,3059,POINT (-149.9362474 61.20007422),02020001300,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease,1669
2020,AK,Alaska,Fairbanks North Star,02090,02090001800,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,32.0,,,29.7,34.0,2743,POINT (-146.6673515 64.68768252),02090001800,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours,1673
2020,AK,Alaska,Matanuska-Susitna,02170,02170000603,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Crude prevalence,60.9,,,57.3,64.3,6131,POINT (-149.6660929 61.52504475),02170000603,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening,1707
2020,AK,Alaska,Matanuska-Susitna,02170,02170001100,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Crude prevalence,42.7,,,37.4,48.2,5364,POINT (-149.2365858 61.57328004),02170001100,PREVENT,COREM,CrdPrv,Core preventive services for older men,1707
2021,AK,Alaska,Kenai Peninsula,02122,02122000300,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,73.3,,,69.4,76.8,895,POINT (-149.423589 60.5946799),02122000300,PREVENT,BPMED,CrdPrv,Taking BP Medication,110
2021,AK,Alaska,Anchorage,02020,02020001300,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.5,,,7.6,9.6,3059,POINT (-149.9362474 61.20007422),02020001300,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,1669
2021,AK,Alaska,Kusilvak,02158,02158000100,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Crude prevalence,42.6,,,38.1,47.3,7459,POINT (-163.3716773 62.15283194),02158000100,RISKBEH,CSMOKING,CrdPrv,Current Smoking,2
2021,AK,Alaska,Anchorage,02020,02020001701,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,19.9,,,17.5,22.3,6843,POINT (-149.7633636 61.18807195),02020001701,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,1669
2021,AK,Alaska,Matanuska-Susitna,02170,02170000300,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Crude prevalence,19.7,,,16.9,22.8,5614,POINT (-149.1776083 61.74709797),02170000300,RISKBEH,LPA,CrdPrv,Physical Inactivity,1707
2021,AK,Alaska,Anchorage,02020,02020002400,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,9.7,,,8.7,10.9,3299,POINT (-149.9202678 61.17695755),02020002400,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,1669
2021,AK,Alaska,Anchorage,02020,02020001300,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,5.1,,,3.9,6.9,3059,POINT (-149.9362474 61.20007422),02020001300,PREVENT,ACCESS2,CrdPrv,Health Insurance,1669
2021,AK,Alaska,Anchorage,02020,02020000101,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,9.3,,,8.2,10.4,5736,POINT (-148.8260408 61.26066101),02020000101,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,1669
2020,AK,Alaska,Anchorage,02020,02020002821,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,27.9,,,26.2,29.6,5050,POINT (-149.822632 61.10156022),02020002821,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours,1669
2021,AK,Alaska,Matanuska-Susitna,02170,02170000501,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Crude prevalence,5.5,,,4.8,6.4,1716,POINT (-149.8756292 61.49385765),02170000501,DISABLT,VISION,CrdPrv,Vision Disability,1707
2021,AK,Alaska,Anchorage,02020,02020002702,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,5.5,,,5.0,6.1,9670,POINT (-149.8763347 61.09933756),02020002702,HLTHOUT,CANCER,CrdPrv,Cancer (except skin),1669
2021,AK,Alaska,Valdez-Cordova,02261,02261000200,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Crude prevalence,2.5,,,2.3,2.8,2264,POINT (-144.5068757 60.64011075),02261000200,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease,1
2021,AK,Alaska,Bethel,02050,02050000200,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Crude prevalence,5.0,,,4.5,5.7,6080,POINT (-161.8844304 60.81281406),02050000200,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease,108
2020,AK,Alaska,Nome,02180,02180000200,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Crude prevalence,80.2,,,78.2,82.1,3767,POINT (-165.4205707 64.65750398),02180000200,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening,114
2021,AK,Alaska,Anchorage,02020,02020000202,BRFSS,Disability,Any disability among adults aged >=18 years,%,Crude prevalence,21.6,,,18.4,25.2,5947,POINT (-149.538294 61.32857978),02020000202,DISABLT,DISABILITY,CrdPrv,Any Disability,1669
2020,AK,Alaska,Juneau,02110,02110000300,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Crude prevalence,42.2,,,36.4,48.2,5483,POINT (-134.556445 58.37932313),02110000300,PREVENT,COREW,CrdPrv,Core preventive services for older women,1675
2020,AK,Alaska,Bethel,02050,02050000300,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Crude prevalence,17.2,,,15.3,19.3,1450,POINT (-156.8099559 61.47802052),02050000300,PREVENT,COREW,CrdPrv,Core preventive services for older women,108
2020,AK,Alaska,Northwest Arctic,02188,02188000100,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Crude prevalence,19.8,,,17.8,21.8,4322,POINT (-159.6909713 67.06465498),02188000100,PREVENT,COREW,CrdPrv,Core preventive services for older women,116
2021,AK,Alaska,Matanuska-Susitna,02170,02170001100,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Crude prevalence,3.4,,,2.9,3.9,5364,POINT (-149.2365858 61.57328004),02170001100,DISABLT,VISION,CrdPrv,Vision Disability,1707
2021,AK,Alaska,Fairbanks North Star,02090,02090000700,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Crude prevalence,4.9,,,4.0,5.7,4142,POINT (-147.8023698 64.83234506),02090000700,HLTHOUT,COPD,CrdPrv,COPD,1673
2020,AK,Alaska,Aleutians West,02016,02016000100,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,62.1,,,59.2,64.8,1185,POINT (-173.0176532 52.56487002),02016000100,PREVENT,MAMMOUSE,CrdPrv,Mammography,
2021,AK,Alaska,Kodiak Island,02150,02150000500,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,7.2,,,5.7,8.8,1301,POINT (-152.5488118 57.75069269),02150000500,HLTHSTAT,GHLTH,CrdPrv,General Health,112
2021,AK,Alaska,Anchorage,02020,02020002712,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,64.5,,,60.8,68.0,9068,POINT (-149.8903202 61.12857549),02020002712,PREVENT,BPMED,CrdPrv,Taking BP Medication,1669
2021,AK,Alaska,Anchorage,02020,02020001732,BRFSS,Disability,Hearing disability among adults aged >=18 years,%,Crude prevalence,5.5,,,4.8,6.2,6179,POINT (-149.7334404 61.18810949),02020001732,DISABLT,HEARING,CrdPrv,Hearing Disability,1669
2020,AK,Alaska,Anchorage,02020,02020002400,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,31.3,,,30.4,32.1,3299,POINT (-149.9202678 61.17695755),02020002400,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours,1669
2021,AK,Alaska,Yukon-Koyukuk,02290,02290000300,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,67.5,,,63.4,71.4,1758,POINT (-156.2319567 65.34275156),02290000300,PREVENT,BPMED,CrdPrv,Taking BP Medication,4
