Year,StateAbbr,StateDesc,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,MOE,TotalPopulation,LocationID,CategoryID,MeasureID,DataValueTypeID,Short_Question_Text,Geolocation,Counties,States
2017-2021,AK,Alaska,Hoonah-Angoon Census Area,5-year ACS,SDOH,Unemployment among people 16 years and older in the labor force,%,Percentage,15,5.8,2327,02105,SDOH,UNEMP,Percent,Unemployment,POINT (-135.884909 58.403336),109,51
2017-2021,AK,Alaska,Nome Census Area,5-year ACS,SDOH,Crowding among housing units,%,Percentage,31.2,2.3,10070,02180,SDOH,CROWD,Percent,Crowding,POINT (-164.1889119 64.7836858),114,51
2017-2021,AK,Alaska,Aleutians East Borough,5-year ACS,SDOH,Single-parent households,%,Percentage,7.9,2.2,3409,02013,SDOH,SNGPNT,Percent,Single-parent households,POINT (-161.9974772 55.2450437),107,51
2017-2021,AK,Alaska,Skagway Municipality,5-year ACS,SDOH,No broadband internet subscription among households,%,Percentage,13.1,14.5,1329,02230,SDOH,BROAD,Percent,No broadband,POINT (-135.3382787 59.5603794),1709,51
2017-2021,AK,Alaska,Haines Borough,5-year ACS,SDOH,Persons aged 65 years or older,%,Percentage,20.9,6.5,2098,02100,SDOH,AGE65,Percent,Aged 65 years or older,POINT (-135.5757906 59.0984037),1674,51
2017-2021,AK,Alaska,Kodiak Island Borough,5-year ACS,SDOH,No high school diploma among adults aged 25 years or older,%,Percentage,9.5,2.5,13218,02150,SDOH,NOHSDP,Percent,No high school diploma,POINT (-153.9183721 57.7044003),,51
2017-2021,AK,Alaska,Northwest Arctic Borough,5-year ACS,SDOH,No broadband internet subscription among households,%,Percentage,18.8,4.5,7776,02188,SDOH,BROAD,Percent,No broadband,POINT (-160.0210864 67.0050655),116,51
2017-2021,AK,Alaska,Petersburg Borough,5-year ACS,SDOH,Single-parent households,%,Percentage,3.9,1.6,3368,02195,SDOH,SNGPNT,Percent,Single-parent households,POINT (-133.0085979 57.1124581),117,51
2017-2021,AK,Alaska,Anchorage Municipality,5-year ACS,SDOH,Unemployment among people 16 years and older in the labor force,%,Percentage,5.4,0.6,292545,02020,SDOH,UNEMP,Percent,Unemployment,POINT (-149.2843294 61.1742503),1669,51
2017-2021,AK,Alaska,Southeast Fairbanks Census Area,5-year ACS,SDOH,Single-parent households,%,Percentage,4.9,2.2,6849,02240,SDOH,SNGPNT,Percent,Single-parent households,POINT (-143.2186282 63.8649972),983,51
2017-2021,AK,Alaska,Yakutat City and Borough,5-year ACS,SDOH,Persons of racial or ethnic minority status,%,Percentage,69.6,13,562,02282,SDOH,REMNRTY,Percent,Racial or ethnic minority status,POINT (-140.416942 60.0174528),984,51
2017-2021,AK,Alaska,Lake and Peninsula Borough,5-year ACS,SDOH,Persons living below 150% of the poverty level,%,Percentage,27.9,6.9,986,02164,SDOH,POV150,Percent,Poverty,POINT (-156.4134134 58.1085067),113,51
2017-2021,AK,Alaska,Yukon-Koyukuk Census Area,5-year ACS,SDOH,Unemployment among people 16 years and older in the labor force,%,Percentage,12.8,2.2,5433,02290,SDOH,UNEMP,Percent,Unemployment,POINT (-151.5778496 65.3757271),4,51
2017-2021,AK,Alaska,Kusilvak Census Area,5-year ACS,SDOH,Persons aged 65 years or older,%,Percentage,5.9,1.9,8354,02158,SDOH,AGE65,Percent,Aged 65 years or older,POINT (-163.1901714 62.2835878),2,51
2017-2021,AK,Alaska,Nome Census Area,5-year ACS,SDOH,Persons of racial or ethnic minority status,%,Percentage,85.7,1.8,10070,02180,SDOH,REMNRTY,Percent,Racial or ethnic minority status,POINT (-164.1889119 64.7836858),114,51
2017-2021,AK,Alaska,Aleutians West Census Area,5-year ACS,SDOH,Crowding among housing units,%,Percentage,8,1.9,5251,02016,SDOH,CROWD,Percent,Crowding,POINT (178.338813 51.9594469),,
2017-2021,AK,Alaska,Bethel Census Area,5-year ACS,SDOH,Single-parent households,%,Percentage,8.8,2.1,18514,02050,SDOH,SNGPNT,Percent,Single-parent households,POINT (-160.1526246 60.9291413),108,51
2017-2021,AK,Alaska,Sitka City and Borough,5-year ACS,SDOH,Persons of racial or ethnic minority status,%,Percentage,38.6,2.5,8518,02220,SDOH,REMNRTY,Percent,Racial or ethnic minority status,POINT (-135.3673965 57.1932044),118,
2017-2021,AK,Alaska,Northwest Arctic Borough,5-year ACS,SDOH,Persons living below 150% of the poverty level,%,Percentage,33.4,3.1,7776,02188,SDOH,POV150,Percent,Poverty,POINT (-160.0210864 67.0050655),116,51
2017-2021,AK,Alaska,Prince of Wales-Hyder Census Area,5-year ACS,SDOH,Crowding among housing units,%,Percentage,5.6,1.7,5886,02198,SDOH,CROWD,Percent,Crowding,POINT (-133.1623885 55.6827733),1708,
2017-2021,AK,Alaska,Lake and Peninsula Borough,5-year ACS,SDOH,No broadband internet subscription among households,%,Percentage,33.9,30.9,986,02164,SDOH,BROAD,Percent,No broadband,POINT (-156.4134134 58.1085067),113,51
2017-2021,AK,Alaska,Dillingham Census Area,5-year ACS,SDOH,Housing cost burden among households,%,Percentage,19.5,3.3,4899,02070,SDOH,HCOST,Percent,Housing cost burden,POINT (-158.2671226 59.5433255),1672,51
2017-2021,AK,Alaska,Anchorage Municipality,5-year ACS,SDOH,No high school diploma among adults aged 25 years or older,%,Percentage,5.8,0.5,292545,02020,SDOH,NOHSDP,Percent,No high school diploma,POINT (-149.2843294 61.1742503),1669,51
2017-2021,AK,Alaska,Yukon-Koyukuk Census Area,5-year ACS,SDOH,No high school diploma among adults aged 25 years or older,%,Percentage,12.9,1.5,5433,02290,SDOH,NOHSDP,Percent,No high school diploma,POINT (-151.5778496 65.3757271),4,51
2017-2021,AK,Alaska,Dillingham Census Area,5-year ACS,SDOH,Unemployment among people 16 years and older in the labor force,%,Percentage,12.6,1.9,4899,02070,SDOH,UNEMP,Percent,Unemployment,POINT (-158.2671226 59.5433255),1672,51
2017-2021,AK,Alaska,Kenai Peninsula Borough,5-year ACS,SDOH,Persons living below 150% of the poverty level,%,Percentage,18.8,2,58711,02122,SDOH,POV150,Percent,Poverty,POINT (-152.0526403 60.360766),110,
2017-2021,AK,Alaska,Yakutat City and Borough,5-year ACS,SDOH,Crowding among housing units,%,Percentage,6.9,6,562,02282,SDOH,CROWD,Percent,Crowding,POINT (-140.416942 60.0174528),984,51
2017-2021,AK,Alaska,Matanuska-Susitna Borough,5-year ACS,SDOH,Persons aged 65 years or older,%,Percentage,12.2,0.1,106807,02170,SDOH,AGE65,Percent,Aged 65 years or older,POINT (-149.5039935 62.2656263),1707,51
2017-2021,AK,Alaska,Chugach Census Area,5-year ACS,SDOH,Housing cost burden among households,%,Percentage,18,6.8,7015,02063,SDOH,HCOST,Percent,Housing cost burden,POINT (-146.2030924 60.4884737),1,
2017-2021,AK,Alaska,Southeast Fairbanks Census Area,5-year ACS,SDOH,Housing cost burden among households,%,Percentage,18.1,4.9,6849,02240,SDOH,HCOST,Percent,Housing cost burden,POINT (-143.2186282 63.8649972),983,51
2017-2021,AK,Alaska,Denali Borough,5-year ACS,SDOH,Housing cost burden among households,%,Percentage,16.6,1.5,2187,02068,SDOH,HCOST,Percent,Housing cost burden,POINT (-150.0270164 63.6820386),1671,51
2017-2021,AK,Alaska,Chugach Census Area,5-year ACS,SDOH,No high school diploma among adults aged 25 years or older,%,Percentage,4.6,2.1,7015,02063,SDOH,NOHSDP,Percent,No high school diploma,POINT (-146.2030924 60.4884737),1,
2017-2021,AK,Alaska,North Slope Borough,5-year ACS,SDOH,No broadband internet subscription among households,%,Percentage,30.3,6.5,10865,02185,SDOH,BROAD,Percent,No broadband,POINT (-153.4728302 69.4493427),115,51
2017-2021,AK,Alaska,Kusilvak Census Area,5-year ACS,SDOH,Persons living below 150% of the poverty level,%,Percentage,57.3,4,8354,02158,SDOH,POV150,Percent,Poverty,POINT (-163.1901714 62.2835878),2,51
2017-2021,AK,Alaska,Petersburg Borough,5-year ACS,SDOH,Persons aged 65 years or older,%,Percentage,28,4.6,3368,02195,SDOH,AGE65,Percent,Aged 65 years or older,POINT (-133.0085979 57.1124581),117,51
2017-2021,AK,Alaska,Hoonah-Angoon Census Area,5-year ACS,SDOH,Housing cost burden among households,%,Percentage,16.6,3.9,2327,02105,SDOH,HCOST,Percent,Housing cost burden,POINT (-135.884909 58.403336),109,51
2017-2021,AK,Alaska,North Slope Borough,5-year ACS,SDOH,Persons of racial or ethnic minority status,%,Percentage,71.8,2.3,10865,02185,SDOH,REMNRTY,Percent,Racial or ethnic minority status,POINT (-153.4728302 69.4493427),115,51
2017-2021,AK,Alaska,Ketchikan Gateway Borough,5-year ACS,SDOH,Unemployment among people 16 years and older in the labor force,%,Percentage,4.7,1.1,13939,02130,SDOH,UNEMP,Percent,Unemployment,POINT (-131.1066847 55.4499378),111,51
2017-2021,AK,Alaska,Prince of Wales-Hyder Census Area,5-year ACS,SDOH,Persons of racial or ethnic minority status,%,Percentage,55.4,2.2,5886,02198,SDOH,REMNRTY,Percent,Racial or ethnic minority status,POINT (-133.1623885 55.6827733),1708,
2017-2021,AK,Alaska,Matanuska-Susitna Borough,5-year ACS,SDOH,No high school diploma among adults aged 25 years or older,%,Percentage,6.3,0.5,106807,02170,SDOH,NOHSDP,Percent,No high school diploma,POINT (-149.5039935 62.2656263),1707,51
2017-2021,AK,Alaska,Wrangell City and Borough,5-year ACS,SDOH,Single-parent households,%,Percentage,5.3,2.7,2162,02275,SDOH,SNGPNT,Percent,Single-parent households,POINT (-132.0267878 56.1807793),3,51
2017-2021,AK,Alaska,Prince of Wales-Hyder Census Area,5-year ACS,SDOH,No broadband internet subscription among households,%,Percentage,31.6,4.4,5886,02198,SDOH,BROAD,Percent,No broadband,POINT (-133.1623885 55.6827733),1708,
2017-2021,AK,Alaska,Fairbanks North Star Borough,5-year ACS,SDOH,Persons aged 65 years or older,%,Percentage,11.1,0.1,97149,02090,SDOH,AGE65,Percent,Aged 65 years or older,POINT (-146.5481586 64.6760436),1673,51
2017-2021,AK,Alaska,Anchorage Municipality,5-year ACS,SDOH,Persons aged 65 years or older,%,Percentage,11.5,0.1,292545,02020,SDOH,AGE65,Percent,Aged 65 years or older,POINT (-149.2843294 61.1742503),1669,51
2017-2021,AK,Alaska,Nome Census Area,5-year ACS,SDOH,Persons living below 150% of the poverty level,%,Percentage,36.8,2.5,10070,02180,SDOH,POV150,Percent,Poverty,POINT (-164.1889119 64.7836858),114,51
2017-2021,AK,Alaska,Petersburg Borough,5-year ACS,SDOH,Persons living below 150% of the poverty level,%,Percentage,13.5,3.2,3368,02195,SDOH,POV150,Percent,Poverty,POINT (-133.0085979 57.1124581),117,51
2017-2021,AK,Alaska,Kenai Peninsula Borough,5-year ACS,SDOH,Persons aged 65 years or older,%,Percentage,17.9,0.1,58711,02122,SDOH,AGE65,Percent,Aged 65 years or older,POINT (-152.0526403 60.360766),110,
2017-2021,AK,Alaska,Southeast Fairbanks Census Area,5-year ACS,SDOH,No broadband internet subscription among households,%,Percentage,29.2,6.3,6849,02240,SDOH,BROAD,Percent,No broadband,POINT (-143.2186282 63.8649972),983,51
2017-2021,AK,Alaska,Aleutians West Census Area,5-year ACS,SDOH,No high school diploma among adults aged 25 years or older,%,Percentage,9,2,5251,02016,SDOH,NOHSDP,Percent,No high school diploma,POINT (178.338813 51.9594469),,
2017-2021,AK,Alaska,Yukon-Koyukuk Census Area,5-year ACS,SDOH,Persons of racial or ethnic minority status,%,Percentage,78.6,2.2,5433,02290,SDOH,REMNRTY,Percent,Racial or ethnic minority status,POINT (-151.5778496 65.3757271),4,51
2017-2021,AK,Alaska,Southeast Fairbanks Census Area,5-year ACS,SDOH,Persons of racial or ethnic minority status,%,Percentage,27.9,1.5,6849,02240,SDOH,REMNRTY,Percent,Racial or ethnic minority status,POINT (-143.2186282 63.8649972),983,51
2017-2021,AK,Alaska,Chugach Census Area,5-year ACS,SDOH,Unemployment among people 16 years and older in the labor force,%,Percentage,3.6,2.3,7015,02063,SDOH,UNEMP,Percent,Unemployment,POINT (-146.2030924 60.4884737),1,
2017-2021,AK,Alaska,Sitka City and Borough,5-year ACS,SDOH,Crowding among housing units,%,Percentage,1.8,0.8,8518,02220,SDOH,CROWD,Percent,Crowding,POINT (-135.3673965 57.1932044),118,
2017-2021,AK,Alaska,Kusilvak Census Area,5-year ACS,SDOH,No broadband internet subscription among households,%,Percentage,30,6,8354,02158,SDOH,BROAD,Percent,No broadband,POINT (-163.1901714 62.2835878),2,51
2017-2021,AK,Alaska,Denali Borough,5-year ACS,SDOH,Single-parent households,%,Percentage,2.1,2.1,2187,02068,SDOH,SNGPNT,Percent,Single-parent households,POINT (-150.0270164 63.6820386),1671,51
2017-2021,AK,Alaska,Haines Borough,5-year ACS,SDOH,Unemployment among people 16 years and older in the labor force,%,Percentage,3.7,2.8,2098,02100,SDOH,UNEMP,Percent,Unemployment,POINT (-135.5757906 59.0984037),1674,51
2017-2021,AK,Alaska,Skagway Municipality,5-year ACS,SDOH,Persons living below 150% of the poverty level,%,Percentage,12.3,4.3,1329,02230,SDOH,POV150,Percent,Poverty,POINT (-135.3382787 59.5603794),1709,51
2017-2021,AK,Alaska,Ketchikan Gateway Borough,5-year ACS,SDOH,No high school diploma among adults aged 25 years or older,%,Percentage,6,1,13939,02130,SDOH,NOHSDP,Percent,No high school diploma,POINT (-131.1066847 55.4499378),111,51
2017-2021,AK,Alaska,Fairbanks North Star Borough,5-year ACS,SDOH,No high school diploma among adults aged 25 years or older,%,Percentage,5.5,0.8,97149,02090,SDOH,NOHSDP,Percent,No high school diploma,POINT (-146.5481586 64.6760436),1673,51
2017-2021,AK,Alaska,Yukon-Koyukuk Census Area,5-year ACS,SDOH,No broadband internet subscription among households,%,Percentage,54.1,2.7,5433,02290,SDOH,BROAD,Percent,No broadband,POINT (-151.5778496 65.3757271),4,51
2017-2021,AK,Alaska,Bristol Bay Borough,5-year ACS,SDOH,Crowding among housing units,%,Percentage,5.4,3.2,849,02060,SDOH,CROWD,Percent,Crowding,POINT (-156.9668053 58.741661),1670,51
2017-2021,AK,Alaska,Aleutians East Borough,5-year ACS,SDOH,Housing cost burden among households,%,Percentage,16.6,2.3,3409,02013,SDOH,HCOST,Percent,Housing cost burden,POINT (-161.9974772 55.2450437),107,51
2017-2021,AK,Alaska,Juneau City and Borough,5-year ACS,SDOH,Persons living below 150% of the poverty level,%,Percentage,12,1.5,32240,02110,SDOH,POV150,Percent,Poverty,POINT (-134.1784454 58.3729099),1675,51
2017-2021,AK,Alaska,Yakutat City and Borough,5-year ACS,SDOH,Persons living below 150% of the poverty level,%,Percentage,13.2,10.3,562,02282,SDOH,POV150,Percent,Poverty,POINT (-140.416942 60.0174528),984,51
2017-2021,AK,Alaska,Nome Census Area,5-year ACS,SDOH,Persons aged 65 years or older,%,Percentage,7.6,0.8,10070,02180,SDOH,AGE65,Percent,Aged 65 years or older,POINT (-164.1889119 64.7836858),114,51
2017-2021,AK,Alaska,Wrangell City and Borough,5-year ACS,SDOH,Crowding among housing units,%,Percentage,1.8,1.3,2162,02275,SDOH,CROWD,Percent,Crowding,POINT (-132.0267878 56.1807793),3,51
2017-2021,AK,Alaska,Kodiak Island Borough,5-year ACS,SDOH,Persons of racial or ethnic minority status,%,Percentage,52.6,3.5,13218,02150,SDOH,REMNRTY,Percent,Racial or ethnic minority status,POINT (-153.9183721 57.7044003),,51
2017-2021,AK,Alaska,Copper River Census Area,5-year ACS,SDOH,Housing cost burden among households,%,Percentage,15.6,6.6,2635,02066,SDOH,HCOST,Percent,Housing cost burden,POINT (-143.9221674 62.034479),1,51
2017-2021,AK,Alaska,Dillingham Census Area,5-year ACS,SDOH,Crowding among housing units,%,Percentage,26.1,3,4899,02070,SDOH,CROWD,Percent,Crowding,POINT (-158.2671226 59.5433255),1672,51
2017-2021,AK,Alaska,Bethel Census Area,5-year ACS,SDOH,Housing cost burden among households,%,Percentage,18.8,2.9,18514,02050,SDOH,HCOST,Percent,Housing cost burden,POINT (-160.1526246 60.9291413),108,51
2017-2021,AK,Alaska,Anchorage Municipality,5-year ACS,SDOH,Single-parent households,%,Percentage,6,0.6,292545,02020,SDOH,SNGPNT,Percent,Single-parent households,POINT (-149.2843294 61.1742503),1669,51
2017-2021,AK,Alaska,Denali Borough,5-year ACS,SDOH,No high school diploma among adults aged 25 years or older,%,Percentage,1.6,1.6,2187,02068,SDOH,NOHSDP,Percent,No high school diploma,POINT (-150.0270164 63.6820386),1671,51
2017-2021,AK,Alaska,Haines Borough,5-year ACS,SDOH,No high school diploma among adults aged 25 years or older,%,Percentage,2.3,1.8,2098,02100,SDOH,NOHSDP,Percent,No high school diploma,POINT (-135.5757906 59.0984037),1674,51
2017-2021,AK,Alaska,Aleutians West Census Area,5-year ACS,SDOH,No broadband internet subscription among households,%,Percentage,23,17.3,5251,02016,SDOH,BROAD,Percent,No broadband,POINT (178.338813 51.9594469),,
2017-2021,AK,Alaska,Skagway Municipality,5-year ACS,SDOH,Persons aged 65 years or older,%,Percentage,13.3,4.2,1329,02230,SDOH,AGE65,Percent,Aged 65 years or older,POINT (-135.3382787 59.5603794),1709,51
2017-2021,AK,Alaska,Bethel Census Area,5-year ACS,SDOH,Unemployment among people 16 years and older in the labor force,%,Percentage,18.1,3,18514,02050,SDOH,UNEMP,Percent,Unemployment,POINT (-160.1526246 60.9291413),108,51
2017-2021,AK,Alaska,Fairbanks North Star Borough,5-year ACS,SDOH,Unemployment among people 16 years and older in the labor force,%,Percentage,6.3,1.4,97149,02090,SDOH,UNEMP,Percent,Unemployment,POINT (-146.5481586 64.6760436),1673,51
2017-2021,AK,Alaska,Ketchikan Gateway Borough,5-year ACS,SDOH,Persons aged 65 years or older,%,Percentage,16,0.2,13939,02130,SDOH,AGE65,Percent,Aged 65 years or older,POINT (-131.1066847 55.4499378),111,51
2017-2021,AK,Alaska,Bristol Bay Borough,5-year ACS,SDOH,Persons of racial or ethnic minority status,%,Percentage,58.8,7.8,849,02060,SDOH,REMNRTY,Percent,Racial or ethnic minority status,POINT (-156.9668053 58.741661),1670,51
2017-2021,AK,Alaska,Juneau City and Borough,5-year ACS,SDOH,No broadband internet subscription among households,%,Percentage,8,2.5,32240,02110,SDOH,BROAD,Percent,No broadband,POINT (-134.1784454 58.3729099),1675,51
2017-2021,AK,Alaska,Matanuska-Susitna Borough,5-year ACS,SDOH,Persons living below 150% of the poverty level,%,Percentage,17.2,1.1,106807,02170,SDOH,POV150,Percent,Poverty,POINT (-149.5039935 62.2656263),1707,51
2017-2021,AK,Alaska,North Slope Borough,5-year ACS,SDOH,Persons aged 65 years or older,%,Percentage,7.3,0.8,10865,02185,SDOH,AGE65,Percent,Aged 65 years or older,POINT (-153.4728302 69.4493427),115,51
2017-2021,AK,Alaska,Anchorage Municipality,5-year ACS,SDOH,Housing cost burden among households,%,Percentage,25.7,1.3,292545,02020,SDOH,HCOST,Percent,Housing cost burden,POINT (-149.2843294 61.1742503),1669,51
2017-2021,AK,Alaska,Northwest Arctic Borough,5-year ACS,SDOH,No high school diploma among adults aged 25 years or older,%,Percentage,15.7,1.5,7776,02188,SDOH,NOHSDP,Percent,No high school diploma,POINT (-160.0210864 67.0050655),116,51
2017-2021,AK,Alaska,Chugach Census Area,5-year ACS,SDOH,Persons aged 65 years or older,%,Percentage,13.5,1.6,7015,02063,SDOH,AGE65,Percent,Aged 65 years or older,POINT (-146.2030924 60.4884737),1,
2017-2021,AK,Alaska,Lake and Peninsula Borough,5-year ACS,SDOH,Persons aged 65 years or older,%,Percentage,9.9,2.5,986,02164,SDOH,AGE65,Percent,Aged 65 years or older,POINT (-156.4134134 58.1085067),113,51
2017-2021,AK,Alaska,Copper River Census Area,5-year ACS,SDOH,Unemployment among people 16 years and older in the labor force,%,Percentage,7.7,3.5,2635,02066,SDOH,UNEMP,Percent,Unemployment,POINT (-143.9221674 62.034479),1,51
2017-2021,AK,Alaska,Lake and Peninsula Borough,5-year ACS,SDOH,Unemployment among people 16 years and older in the labor force,%,Percentage,15.8,4.3,986,02164,SDOH,UNEMP,Percent,Unemployment,POINT (-156.4134134 58.1085067),113,51
2017-2021,AK,Alaska,North Slope Borough,5-year ACS,SDOH,Crowding among housing units,%,Percentage,30.2,4.6,10865,02185,SDOH,CROWD,Percent,Crowding,POINT (-153.4728302 69.4493427),115,51
2017-2021,AK,Alaska,Chugach Census Area,5-year ACS,SDOH,Persons living below 150% of the poverty level,%,Percentage,8.3,3.2,7015,02063,SDOH,POV150,Percent,Poverty,POINT (-146.2030924 60.4884737),1,
