Year,StateAbbr,StateDesc,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,Geolocation,Counties,States
2020,AK,Alaska,Kodiak Island,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Age-adjusted prevalence,67.1,,,64.9,69.2,12787,02150,PREVENT,COLON_SCREEN,AgeAdjPrv,Colorectal Cancer Screening,POINT (-153.9183721 57.7044003),,51
2021,AK,Alaska,Hoonah-Angoon,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Crude prevalence,6.3,,,5.5,7.1,2332,02105,DISABLT,VISION,CrdPrv,Vision Disability,POINT (-135.884909 58.403336),109,51
2021,AK,Alaska,Aleutians East,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,12.7,,,11.0,14.7,3398,02013,HLTHSTAT,MHLTH,CrdPrv,Mental Health,POINT (-161.9974772 55.2450437),107,51
2021,AK,Alaska,Petersburg,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Age-adjusted prevalence,51.4,,,46.2,56.7,3356,02195,PREVENT,BPMED,AgeAdjPrv,Taking BP Medication,POINT (-133.0085979 57.1124581),117,51
2021,AK,Alaska,Lake and Peninsula,BRFSS,Disability,Self-care disability among adults aged >=18 years,%,Age-adjusted prevalence,4.8,,,4.2,5.5,1416,02164,DISABLT,SELFCARE,AgeAdjPrv,Self-care Disability,POINT (-156.4134134 58.1085067),113,51
2021,AK,Alaska,Hoonah-Angoon,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.2,,,5.6,6.8,2332,02105,HLTHOUT,CANCER,AgeAdjPrv,Cancer (except skin),POINT (-135.884909 58.403336),109,51
2021,AK,Alaska,Denali,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Age-adjusted prevalence,14.2,,,11.9,16.8,1593,02068,HLTHSTAT,GHLTH,AgeAdjPrv,General Health,POINT (-150.0270164 63.6820386),1671,51
2020,AK,Alaska,Aleutians West,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Crude prevalence,31.3,,,25.7,37.0,5059,02016,PREVENT,COREW,CrdPrv,Core preventive services for older women,POINT (178.338813 51.9594469),,
2021,AK,Alaska,North Slope,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Crude prevalence,61.1,,,55.3,66.7,10972,02185,PREVENT,CHECKUP,CrdPrv,Annual Checkup,POINT (-153.4728302 69.4493427),115,51
2021,AK,Alaska,Hoonah-Angoon,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Crude prevalence,4.3,,,3.9,4.7,2332,02105,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease,POINT (-135.884909 58.403336),109,51
2020,AK,Alaska,Kusilvak,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Age-adjusted prevalence,71.9,,,68.7,75.1,8360,02158,PREVENT,CERVICAL,AgeAdjPrv,Cervical Cancer Screening,POINT (-163.1901714 62.2835878),2,51
2021,AK,Alaska,Bethel,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,34.1,,,30.2,38.0,18557,02050,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure,POINT (-160.1526246 60.9291413),108,51
2021,AK,Alaska,Bristol Bay,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Age-adjusted prevalence,10.3,,,8.4,12.4,838,02060,PREVENT,ACCESS2,AgeAdjPrv,Health Insurance,POINT (-156.9668053 58.741661),1670,51
2021,AK,Alaska,Southeast Fairbanks,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,75.9,,,72.5,79.2,6970,02240,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening,POINT (-143.2186282 63.8649972),983,51
2021,AK,Alaska,North Slope,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Crude prevalence,25,,,20.9,29.4,10972,02185,RISKBEH,CSMOKING,CrdPrv,Current Smoking,POINT (-153.4728302 69.4493427),115,51
2021,AK,Alaska,Petersburg,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Crude prevalence,21.5,,,17.4,25.9,3356,02195,RISKBEH,LPA,CrdPrv,Physical Inactivity,POINT (-133.0085979 57.1124581),117,51
2020,AK,Alaska,Juneau,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Crude prevalence,41.6,,,35.3,47.6,31973,02110,PREVENT,COREW,CrdPrv,Core preventive services for older women,POINT (-134.1784454 58.3729099),1675,51
2021,AK,Alaska,Northwest Arctic,BRFSS,Disability,Self-care disability among adults aged >=18 years,%,Age-adjusted prevalence,6,,,5.2,6.9,7560,02188,DISABLT,SELFCARE,AgeAdjPrv,Self-care Disability,POINT (-160.0210864 67.0050655),116,51
2020,AK,Alaska,Bethel,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,37.1,,,35.6,38.5,18557,02050,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours,POINT (-160.1526246 60.9291413),108,51
2020,AK,Alaska,Kusilvak,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Age-adjusted prevalence,39.8,,,38.2,41.5,8360,02158,RISKBEH,SLEEP,AgeAdjPrv,Sleep <7 hours,POINT (-163.1901714 62.2835878),2,51
2020,AK,Alaska,Wrangell,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,12.5,,,9.1,16.6,2055,02275,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost,POINT (-132.0267878 56.1807793),3,51
2021,AK,Alaska,Bristol Bay,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,12.1,,,10.6,14.0,838,02060,HLTHSTAT,PHLTH,CrdPrv,Physical Health,POINT (-156.9668053 58.741661),1670,51
2021,AK,Alaska,Kusilvak,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Age-adjusted prevalence,6.5,,,5.8,7.3,8360,02158,HLTHOUT,STROKE,AgeAdjPrv,Stroke,POINT (-163.1901714 62.2835878),2,51
2021,AK,Alaska,Sitka,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Age-adjusted prevalence,27.2,,,23.1,31.4,8407,02220,HLTHOUT,HIGHCHOL,AgeAdjPrv,High Cholesterol,POINT (-135.3673965 57.1932044),118,
2021,AK,Alaska,Yakutat,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Age-adjusted prevalence,10,,,8.6,11.7,704,02282,HLTHOUT,DIABETES,AgeAdjPrv,Diabetes,POINT (-140.416942 60.0174528),984,51
2020,AK,Alaska,Matanuska-Susitna,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Age-adjusted prevalence,32.5,,,31.1,33.8,110686,02170,RISKBEH,SLEEP,AgeAdjPrv,Sleep <7 hours,POINT (-149.5039935 62.2656263),1707,51
2020,AK,Alaska,Dillingham,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Crude prevalence,22,,,17.2,27.8,4772,02070,PREVENT,COREW,CrdPrv,Core preventive services for older women,POINT (-158.2671226 59.5433255),1672,51
2021,AK,Alaska,Dillingham,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Crude prevalence,27.8,,,22.6,33.0,4772,02070,RISKBEH,LPA,CrdPrv,Physical Inactivity,POINT (-158.2671226 59.5433255),1672,51
2021,AK,Alaska,Lake and Peninsula,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Age-adjusted prevalence,8,,,6.7,9.2,1416,02164,HLTHOUT,COPD,AgeAdjPrv,COPD,POINT (-156.4134134 58.1085067),113,51
2021,AK,Alaska,North Slope,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,12.6,,,10.2,15.3,10972,02185,PREVENT,ACCESS2,CrdPrv,Health Insurance,POINT (-153.4728302 69.4493427),115,51
2020,AK,Alaska,Anchorage,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Age-adjusted prevalence,68.2,,,65.7,70.6,288121,02020,PREVENT,COLON_SCREEN,AgeAdjPrv,Colorectal Cancer Screening,POINT (-149.2843294 61.1742503),1669,51
2021,AK,Alaska,Ketchikan Gateway,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Age-adjusted prevalence,22.3,,,18.6,26.5,13754,02130,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-131.1066847 55.4499378),111,51
2020,AK,Alaska,Kodiak Island,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Crude prevalence,30.9,,,25.9,36.2,12787,02150,PREVENT,COREW,CrdPrv,Core preventive services for older women,POINT (-153.9183721 57.7044003),,51
2021,AK,Alaska,Ketchikan Gateway,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,31.1,,,27.5,35.0,13754,02130,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure,POINT (-131.1066847 55.4499378),111,51
2021,AK,Alaska,Sitka,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.2,,,5.6,6.8,8407,02220,HLTHOUT,CANCER,AgeAdjPrv,Cancer (except skin),POINT (-135.3673965 57.1932044),118,
2021,AK,Alaska,Nome,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,5.3,,,4.7,5.8,9865,02180,HLTHOUT,CANCER,CrdPrv,Cancer (except skin),POINT (-164.1889119 64.7836858),114,51
2021,AK,Alaska,Kenai Peninsula,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Age-adjusted prevalence,20,,,17.0,23.0,59767,02122,RISKBEH,BINGE,AgeAdjPrv,Binge Drinking,POINT (-152.0526403 60.360766),110,
2021,AK,Alaska,Haines,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,36,,,31.3,40.8,2071,02100,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure,POINT (-135.5757906 59.0984037),1674,51
2021,AK,Alaska,North Slope,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Age-adjusted prevalence,18.1,,,15.5,21.0,10972,02185,HLTHSTAT,GHLTH,AgeAdjPrv,General Health,POINT (-153.4728302 69.4493427),115,51
2021,AK,Alaska,Sitka,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Age-adjusted prevalence,18.7,,,15.4,22.3,8407,02220,HLTHOUT,DEPRESSION,AgeAdjPrv,Depression,POINT (-135.3673965 57.1932044),118,
2020,AK,Alaska,Southeast Fairbanks,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Crude prevalence,28.4,,,22.8,34.4,6970,02240,PREVENT,COREW,CrdPrv,Core preventive services for older women,POINT (-143.2186282 63.8649972),983,51
2021,AK,Alaska,Wrangell,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,19.8,,,17.0,23.0,2055,02275,HLTHSTAT,GHLTH,CrdPrv,General Health,POINT (-132.0267878 56.1807793),3,51
2020,AK,Alaska,Petersburg,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Crude prevalence,33.2,,,25.9,40.5,3356,02195,PREVENT,COREW,CrdPrv,Core preventive services for older women,POINT (-133.0085979 57.1124581),117,51
2021,AK,Alaska,Kenai Peninsula,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Crude prevalence,7.1,,,6.1,8.3,59767,02122,DISABLT,INDEPLIVE,CrdPrv,Independent Living Disability,POINT (-152.0526403 60.360766),110,
2020,AK,Alaska,Fairbanks North Star,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Age-adjusted prevalence,64.2,,,61.4,67.1,95593,02090,PREVENT,DENTAL,AgeAdjPrv,Dental Visit,POINT (-146.5481586 64.6760436),1673,51
2021,AK,Alaska,Kusilvak,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Age-adjusted prevalence,30,,,25.7,35.1,8360,02158,HLTHOUT,HIGHCHOL,AgeAdjPrv,High Cholesterol,POINT (-163.1901714 62.2835878),2,51
2020,AK,Alaska,North Slope,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,63.7,,,60.0,67.6,10972,02185,PREVENT,MAMMOUSE,CrdPrv,Mammography,POINT (-153.4728302 69.4493427),115,51
2021,AK,Alaska,Skagway,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Crude prevalence,4,,,3.4,4.7,1132,02230,DISABLT,VISION,CrdPrv,Vision Disability,POINT (-135.3382787 59.5603794),1709,51
2021,AK,Alaska,Kenai Peninsula,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,78,,,74.4,80.5,59767,02122,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening,POINT (-152.0526403 60.360766),110,
2020,AK,Alaska,North Slope,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Age-adjusted prevalence,78.1,,,76.1,80.1,10972,02185,PREVENT,CERVICAL,AgeAdjPrv,Cervical Cancer Screening,POINT (-153.4728302 69.4493427),115,51
2021,AK,Alaska,Denali,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Crude prevalence,17.8,,,13.8,21.9,1593,02068,RISKBEH,CSMOKING,CrdPrv,Current Smoking,POINT (-150.0270164 63.6820386),1671,51
2020,AK,Alaska,Aleutians West,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Age-adjusted prevalence,63.6,,,61.5,65.7,5059,02016,PREVENT,COLON_SCREEN,AgeAdjPrv,Colorectal Cancer Screening,POINT (178.338813 51.9594469),,
2021,AK,Alaska,Matanuska-Susitna,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,6.7,,,6.1,7.4,110686,02170,HLTHOUT,CANCER,CrdPrv,Cancer (except skin),POINT (-149.5039935 62.2656263),1707,51
2021,AK,Alaska,Sitka,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,9.7,,,7.7,11.8,8407,02220,PREVENT,ACCESS2,CrdPrv,Health Insurance,POINT (-135.3673965 57.1932044),118,
2021,AK,Alaska,Chugach,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,13.7,,,11.8,15.7,6941,02063,HLTHSTAT,GHLTH,CrdPrv,General Health,POINT (-146.2030924 60.4884737),1,
2021,AK,Alaska,Kodiak Island,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,11.2,,,9.1,13.6,12787,02150,PREVENT,ACCESS2,CrdPrv,Health Insurance,POINT (-153.9183721 57.7044003),,51
2021,AK,Alaska,Chugach,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Crude prevalence,19.4,,,16.8,22.2,6941,02063,RISKBEH,LPA,CrdPrv,Physical Inactivity,POINT (-146.2030924 60.4884737),1,
2021,AK,Alaska,Kenai Peninsula,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,11.5,,,9.9,13.2,59767,02122,HLTHSTAT,PHLTH,AgeAdjPrv,Physical Health,POINT (-152.0526403 60.360766),110,
2021,AK,Alaska,Hoonah-Angoon,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Crude prevalence,24.9,,,20.2,29.6,2332,02105,RISKBEH,LPA,CrdPrv,Physical Inactivity,POINT (-135.884909 58.403336),109,51
2020,AK,Alaska,Kenai Peninsula,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Crude prevalence,35.1,,,28.4,42.3,59767,02122,PREVENT,COREM,CrdPrv,Core preventive services for older men,POINT (-152.0526403 60.360766),110,
2021,AK,Alaska,Northwest Arctic,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Age-adjusted prevalence,16.8,,,13.5,20.6,7560,02188,PREVENT,ACCESS2,AgeAdjPrv,Health Insurance,POINT (-160.0210864 67.0050655),116,51
2021,AK,Alaska,Wrangell,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,8.8,,,7.9,9.7,2055,02275,HLTHOUT,CANCER,CrdPrv,Cancer (except skin),POINT (-132.0267878 56.1807793),3,51
2021,AK,Alaska,Prince of Wales-Hyder,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,18,,,15.6,20.5,5729,02198,HLTHSTAT,MHLTH,AgeAdjPrv,Mental Health,POINT (-133.1623885 55.6827733),1708,
2021,AK,Alaska,Kenai Peninsula,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Age-adjusted prevalence,2.8,,,2.5,3.1,59767,02122,HLTHOUT,STROKE,AgeAdjPrv,Stroke,POINT (-152.0526403 60.360766),110,
2021,AK,Alaska,North Slope,BRFSS,Disability,Self-care disability among adults aged >=18 years,%,Crude prevalence,3.7,,,3.2,4.2,10972,02185,DISABLT,SELFCARE,CrdPrv,Self-care Disability,POINT (-153.4728302 69.4493427),115,51
2020,AK,Alaska,Kodiak Island,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Age-adjusted prevalence,63.3,,,60.6,66.3,12787,02150,PREVENT,DENTAL,AgeAdjPrv,Dental Visit,POINT (-153.9183721 57.7044003),,51
2020,AK,Alaska,Aleutians West,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Age-adjusted prevalence,55.8,,,53.6,58.4,5059,02016,PREVENT,DENTAL,AgeAdjPrv,Dental Visit,POINT (178.338813 51.9594469),,
2021,AK,Alaska,Anchorage,BRFSS,Disability,Hearing disability among adults aged >=18 years,%,Age-adjusted prevalence,6.8,,,6.0,7.6,288121,02020,DISABLT,HEARING,AgeAdjPrv,Hearing Disability,POINT (-149.2843294 61.1742503),1669,51
2021,AK,Alaska,Wrangell,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Age-adjusted prevalence,24.4,,,20.1,29.6,2055,02275,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-132.0267878 56.1807793),3,51
2021,AK,Alaska,Skagway,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,11,,,9.2,12.8,1132,02230,HLTHSTAT,PHLTH,CrdPrv,Physical Health,POINT (-135.3382787 59.5603794),1709,51
2021,AK,Alaska,Aleutians West,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,9.5,,,8.3,10.9,5059,02016,HLTHSTAT,PHLTH,CrdPrv,Physical Health,POINT (178.338813 51.9594469),,
2021,AK,Alaska,Skagway,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Crude prevalence,19.7,,,16.0,23.7,1132,02230,HLTHOUT,DEPRESSION,CrdPrv,Depression,POINT (-135.3382787 59.5603794),1709,51
2021,AK,Alaska,Yakutat,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,36.5,,,28.6,45.1,704,02282,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-140.416942 60.0174528),984,51
2021,AK,Alaska,Haines,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Crude prevalence,8.2,,,7.0,9.3,2071,02100,DISABLT,INDEPLIVE,CrdPrv,Independent Living Disability,POINT (-135.5757906 59.0984037),1674,51
2021,AK,Alaska,Fairbanks North Star,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,72.2,,,68.6,75.8,95593,02090,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening,POINT (-146.5481586 64.6760436),1673,51
2021,AK,Alaska,Sitka,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,32.1,,,25.8,38.6,8407,02220,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-135.3673965 57.1932044),118,
2021,AK,Alaska,Kodiak Island,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,76.6,,,72.9,80.1,12787,02150,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening,POINT (-153.9183721 57.7044003),,51
2021,AK,Alaska,Nome,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,18.8,,,16.2,21.6,9865,02180,HLTHSTAT,MHLTH,AgeAdjPrv,Mental Health,POINT (-164.1889119 64.7836858),114,51
2021,AK,Alaska,Southeast Fairbanks,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Crude prevalence,24,,,20.0,28.6,6970,02240,RISKBEH,LPA,CrdPrv,Physical Inactivity,POINT (-143.2186282 63.8649972),983,51
2021,AK,Alaska,Ketchikan Gateway,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,9.9,,,8.4,11.6,13754,02130,HLTHOUT,DIABETES,CrdPrv,Diabetes,POINT (-131.1066847 55.4499378),111,51
2021,AK,Alaska,Dillingham,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Crude prevalence,8.1,,,6.9,9.3,4772,02070,DISABLT,VISION,CrdPrv,Vision Disability,POINT (-158.2671226 59.5433255),1672,51
